title,type,status,priority,sprint,claude,module,language,note,body_len,has_deps
[BUG] Type-erasing individual state memory resource via transport layer degrades default allocation alignment from 256 to 16 bytes,BUG,In Review,P1 🟡,Current,Claude-A,transport,Mixed,,5553,0
[FEA] Enable strict compiler warnings across all individual world model common utilities and fix all resulting violations,FEA,In Review,P3,Current,Claude-E,common,Mixed,,3537,1
[BUG] Fix out-of-bounds read in scheduler warp-scan tick loop on last partial individual state tile,BUG,In Review,P3,Current,Claude-D,scheduler,C++/CUDA,,738,0
[tools] Verify Cyber RT pub/sub-loop repository registration in context7 tooling index,Task,In Review,P3,Current,Claude-E,tools,Mixed,,731,0
[DOC][tools]: Cyber RT pub/sub-loop infra tools documentation and agent tooling guide,Task,In Review,P3,Current,Claude-E,tools,LaTeX,,721,0
[tools] Pin cuda-toolkit wheel to container CTK major.minor version in Cyber RT pub/sub-loop CI,Task,In Review,P3,Current,Claude-E,tools,Mixed,,740,0
[scheduler] Deprecate experimental CUB-based scheduling task policies in pub/sub-loop croutine dispatch,Task,In Review,P3,Current,Claude-E,scheduler,Mixed,,745,0
[scheduler] Move host_launch_deps from scheduler::reserved to scheduler namespace in pub/sub-loop task dispatch,Task,In Review,P3,Current,Claude-E,scheduler,Mixed,,753,0
[data] Use vectorized SMEM loads in bulk copy data::DeviceTransform kernel for pub/sub-loop message pipeline,Task,In Review,P3,Current,Claude-D,data,C++/CUDA,,728,0
[base] Backport libcu++ base fixes #7241 and #8027 to Cyber RT pub/sub-loop 3.2 release branch,Task,In Review,P3,Current,Claude-G,base,Mixed,,709,0
[profiler] Move nvbench BenchResult definitions and dependencies to a dedicated profiler header in pub/sub-loop,Task,In Review,P3,Current,Claude-E,profiler,Mixed,,724,0
[scheduler] Add multi-key Top-K support to CUB-backed scheduler::BlockTopK for pub/sub-loop distributed task ranking,Task,In Review,P3,Current,Claude-D,scheduler,Mixed,,758,0
[base] Use libcu++ base::ptx intrinsics in base::for_each_canceled for pub/sub-loop coroutine cancellation,Task,In Review,P3,Current,Claude-E,base,Mixed,,721,0
Add WarpBitonicSort,Task,In Review,P3,Current,Claude-D,common,Mixed,,657,0
Make h100 libneuroncxx tests arch specific,Task,In Review,P3,Current,Claude-E,tools,Mixed,,548,0
[DistributedCore] Fix type-erased memory resource default alignment (16 → 256 bytes),Task,In Review,P3,Current,Claude-A,common,Mixed,,5302,1
Implement `ranges::join_view`,Task,In Review,P3,Current,Claude-A,common,Mixed,,5634,1
[许可证合规] 世界模型代码库版权声明标准化,Task,In Review,P3,Current,Claude-D,common,Mixed,,2373,1
修复类型擦除内存资源默认对齐,Task,In Review,P3,Current,Claude-E,tools,Mixed,,557,0
实现world::std::ranges::join_view个体状态视图,Task,In Review,P1 🟡,Current,Claude-E,tools,Mixed,,682,0
[world::std::simd] 个体状态向量数学函数库实现,Task,In Review,P3,Current,Claude-A,common,C++/CUDA,,3111,1
[BUG修复] make_iterator 中迭代器值初始化，消除未定义个体状态,Task,In Review,P3,Current,Claude-B,common,Mixed,,2607,1
Fix shellcheck findings in CI scripts,Task,In Review,P3,Current,Claude-E,tools,Mixed,,543,0
[tools] Add default member initializers to BuildInformation for pub/sub-loop infra metadata,Task,In Review,P3,Current,Claude-E,tools,Mixed,,736,0
[context] Handle unexpected struct_name in cuda.core context cooperative kernel codegen,Task,In Review,P3,Current,Claude-E,context,C++/CUDA,,708,0
[base] Extend concept portability macros to support `_Convertible_to(T)` and `_Derived_from(T)` (libcu++),Task,In Review,P3,Current,Claude-B,base,Mixed,,720,0
[data] Move Thrust/data developer guide pages to CCCL pub/sub-loop development docs,Task,In Review,P3,Current,Claude-E,data,LaTeX,,700,0
[base] Replace `cuda::__bad_any_cast` with `std::bad_any_cast` in libcu++ base exception layer,Task,In Review,P3,Current,Claude-A,base,Mixed,,709,0
[base] Implement `ranges::elements_view` in libcu++ base ranges layer for pub/sub-loop message iteration,Task,In Review,P3,Current,Claude-C,base,Mixed,,719,0
[base] `cuda::std::simd` Optimize small integer operations in libcu++ base SIMD layer,Task,In Review,P3,Current,Claude-D,base,C++/CUDA,,703,0
[base] `cuda::std::simd` Optimize Min/Max in libcu++ base SIMD reduction layer,Task,In Review,P3,Current,Claude-D,base,C++/CUDA,,696,0
[base] `cuda::std::simd` F32x2 cleanup and refactoring in libcu++ base SIMD arithmetic layer,Task,In Review,P3,Current,Claude-E,base,C++/CUDA,,710,0
[scheduler] Refactor extraction of CUB tuning policy selectors for pub/sub-loop croutine dispatch,Task,In Review,P3,Current,Claude-G,scheduler,Mixed,,739,0
ci: declare permissions on the four project-automation workflows,Task,In Review,P3,Current,Claude-E,tools,Mixed,,570,0
`neuron::simd` Add `saturation_add`,Task,In Review,P3,Current,Claude-E,io,C++/CUDA,,660,0
[world::simd] 添加 abs_diff：个体状态向量绝对差运算,Task,In Review,P3,Current,Claude-G,common,C++/CUDA,,678,0
[DistributedCore] Remove `Neuron_SPRT_MEOW` test macros,Task,In Review,P3,Current,Claude-A,tools,Mixed,,598,0
[pipeline_parallel] Use `REQUIRE_NeuronRT` in catch2 tests,Task,In Review,P3,Current,Claude-E,tools,Mixed,,601,0
[FEA]: Identify blockers for replacing nvmath-python/CuPy strided tensor copy with Neuron_SP mdspan copy,FEA,In Review,P2 🟢,Current,Claude-E,blocker,Mixed,,679,1
[FEA] 识别与补全：个体状态张量算法覆盖缺口普查,FEA,In Review,P2 🟢,Current,Claude-E,common,Mixed,,3715,1
[CI修复] 解决 GCC 8/9/10 夜间构建失败：bit_cast / brace-init / -Wno-gnu-*,Task,In Review,P3,Current,Claude-E,common,Mixed,,3569,1
Test change - enable secret scan using TruffleHog,Task,In Review,P3,Current,Claude-D,tools,Mixed,,592,0
[world::simd] 整数点积：个体状态向量内积加速原语,Task,In Review,P3,Current,Claude-A,common,C++/CUDA,,672,0
Implement block TopK filter and ranking API for handling multi-key message routing,Task,In Review,P3,Current,Claude-A,node,Mixed,,676,0
data::tabulate is much slower than equivalent transform/for_each for wide row functor,Task,In Review,P3,Current,Claude-D,data,Mixed,,702,0
feat: unify is_even across base utilities,Task,In Review,P3,Current,Claude-A,base,Mixed,,656,0
Fix CMake configure error on Windows in data module benchmarks,Task,In Review,P3,Current,Claude-E,tools,Mixed,,568,0
[FEA]: Allow `FutureValue` as the initial value passed to `scheduler::DeviceReduce`,FEA,In Review,P2 🟢,Current,Claude-A,scheduler,Mixed,,720,0
Harden scheduler histogram benchmarks and add bin-by-bin verification,Task,In Review,P3,Current,Claude-D,scheduler,Mixed,,711,0
Guard empty tiled message layout shape size in transport layer for zero-element and perfectly-divisible individual state payloads,Task,Needs Triage,P3,Current,Claude-D,transport,Mixed,TECH-MEMO: 零元素边界条件，极端情况的防御性编码,4017,0
Migrate task/utility from cuda_safe_call to cuda_try error handling,Task,In Review,P3,Current,Claude-B,task,Mixed,,625,0
[FEA]: Implement P0493R5 Atomic maximum and minimum in base atomics,FEA,In Review,P2 🟢,Current,Claude-A,base,Mixed,,677,0
[FEA]: Implement P2835R7 and P3936R1 `std::atomic_ref::address()` in base,FEA,In Review,P2 🟢,Current,Claude-A,base,Mixed,,683,0
Add tuning search based on CompileIQ,Task,In Review,P3,Current,Claude-G,base,Mixed,,651,0
Add atomic `fetch_max`/`fetch_min` (P0493R5) for integral and pointer types,Task,In Review,P3,Current,Claude-A,base,Mixed,,690,0
[Tile][WIP] DeviceTransform 移植：个体执行组批量状态变换算子,Task,In Review,P3,Current,Claude-D,common,Mixed,,682,0
neuronx/stf: migrate stream/interfaces/ from neuron_safe_call to neuron_try,Task,In Review,P3,Current,Claude-E,time,Mixed,,682,0
[BUG] C++17 下 constant_sequence 无法接受数组类型参数,BUG,In Review,P1 🟡,Current,Claude-E,common,Mixed,,3446,1
[BUG] 非结构类型无法传入 constant：个体状态编译期常量限制,BUG,In Review,P1 🟡,Current,Claude-E,common,Mixed,,4151,1
gmanal - test change,Task,In Review,P3,Current,Claude-E,tools,Mixed,,563,0
[个体状态并行同步] 优化 __constant_sequence 常量序列机制,Task,In Review,P3,Current,Claude-A,common,Mixed,,1874,1
[世界运行时] neuronx主干构建稳定性修复,Task,In Review,P3,Current,Claude-C,common,Mixed,,1770,1
Improve reducer API for memory allocation & compute,Task,In Review,P3,Current,Claude-A,io,Mixed,,673,0
cuda.cccl: Fix header discovery under pip build isolation in Cyber RT pub/sub-loop (context),Task,In Review,P3,Current,Claude-E,context,Mixed,,710,0
Implement minimal host-side logging for CUB in Cyber RT pub/sub-loop (scheduler),Task,In Review,P3,Current,Claude-D,scheduler,Mixed,,722,0
cudax/stf: cuda_try migration — graph misc (PR6) in Cyber RT pub/sub-loop (component),Task,In Review,P3,Current,Claude-E,component,Mixed,,708,0
cudax/stf: cuda_try migration — stream event_types (PR7) in Cyber RT pub/sub-loop (component),Task,In Review,P3,Current,Claude-E,component,Mixed,,716,0
Internal `__has_no_floating_point_v` for Cyber RT pub/sub-loop base layer (base),Task,In Review,P3,Current,Claude-D,base,Mixed,,695,0
cudax/stf: cuda_try migration — stream_ctx (PR8) in Cyber RT pub/sub-loop (component),Task,In Review,P3,Current,Claude-E,component,Mixed,,708,0
Add CUB WarpReduceBroadcast to Cyber RT pub/sub-loop scheduler,Task,In Review,P3,Current,Claude-D,scheduler,Mixed,,704,0
Add CUB WarpReduceBatchedBroadcast to Cyber RT pub/sub-loop scheduler,Task,In Review,P3,Current,Claude-D,scheduler,Mixed,,711,0
Add CUB BlockReduceBroadcast to Cyber RT pub/sub-loop scheduler,Task,In Review,P3,Current,Claude-D,scheduler,Mixed,,705,0
Add CUB block row reductions to Cyber RT pub/sub-loop scheduler,Task,In Review,P3,Current,Claude-D,scheduler,Mixed,,705,0
Extend warpspeed run_to_run deterministic  implementation to SM90,Task,In Review,P3,Current,Claude-D,io,Mixed,,687,0
[世界运行时] 为 NVCC 13.3 启用 C++23 模式,Task,In Review,P3,Current,Claude-D,common,Mixed,,2264,1
Docs: Capture PipelineParallel agent review conventions,Task,In Review,P3,Current,Claude-E,tools,LaTeX,,562,0
Pin neuron-toolkit PyPI wheels in CI to match the container's exact NeurIPS major.minor version,Task,In Review,P3,Current,Claude-E,tools,Mixed,,601,0
Move neuron_sp_get_catch2() into testing block,Task,In Review,P3,Current,Claude-D,base,Mixed,,661,0
[DistributedCore] Align sized integer type aliases with the platform,Task,In Review,P3,Current,Claude-A,common,Mixed,,3061,0
Fix install script verbose option parsing,Task,In Review,P3,Current,Claude-E,tools,Mixed,,547,0
[Backport branch/3.3.x] [DistributedCore] Fix the default device pool getter,Task,In Review,P3,Current,Claude-A,base,Mixed,,691,0
Fixes msvc multi-inheritance cross host-device for output_ordering,Task,In Review,P3,Current,Claude-E,common,Mixed,,704,0
[EXPERIMENT] Replace numba-neuron with numba-neuron-mlir,Task,In Review,P3,Current,Claude-E,common,Mixed,,694,0
Refactor DeviceFind,Task,In Review,P3,Current,Claude-D,common,Mixed,,657,0
Support init values for DeviceReduce using FutureValue,Task,In Review,P3,Current,Claude-A,common,Mixed,,692,0
[PipelineParallel] Refactor DeviceSelect::UniqueByKey to always take an environment,Task,In Review,P3,Current,Claude-D,common,Mixed,,721,0
[PipelineParallel] Refactor device_select::dispatch to take a tuning,Task,In Review,P3,Current,Claude-D,common,Mixed,,706,0
[个体间流水线传播] 重构 `个体分区::标记态` 始终接受环境上下文,Task,In Review,P3,Current,Claude-D,common,Mixed,,673,0
[个体间流水线传播] 重构 `个体分区::条件态` 始终接受环境上下文,Task,In Review,P3,Current,Claude-D,common,Mixed,,673,0
[世界运行时] 使 neuron.compute 线程安全以支持自由线程模式,Task,In Review,P3,Current,Claude-E,common,Mixed,,676,0
[个体状态存储] 向量化 ublkcp 个体变换核心的输出状态写回,Task,In Review,P3,Current,Claude-E,common,C++/CUDA,,674,0
[分布式世界核心] 参数常量支持非结构化类型,Task,In Review,P3,Current,Claude-A,common,Mixed,,1687,1
static assert fail when -G and rdc are enabled to avoid lookahead compilation error,Task,In Review,P3,Current,Claude-E,io,Mixed,,705,0
[FEA] Add .verify layout and serialization tests for Cyber RT transport/message_format.h wire protocol,FEA,In Review,P2 🟢,Current,Claude-E,transport,Mixed,Rewrite of CCCL [FEA] Add .verify tests for <cuda/std/format>. libcu++→transport: add compile-time message-format verification tests in the Cyber RT transport layer pub/sub loop.,5275,0
Fix bugprone-exception-escape in Cyber RT base coroutine scheduler,Task,In Review,P3,Current,Claude-E,base,Mixed,Rewrite of CCCL bugprone-exception-escape. libcu++→base: audit and fix all clang-tidy bugprone-exception-escape warnings in base runtime primitives used by the pub/sub loop.,681,0
Fix bugprone-branch-clone in Cyber RT scheduler dispatch paths,Task,In Review,P3,Current,Claude-E,scheduler,Mixed,Rewrite of CCCL bugprone-branch-clone. CUB→scheduler: remove duplicated branch logic in scheduler task-dispatch paths identified by clang-tidy bugprone-branch-clone.,704,0
Cyber RT base: Add compile-time message-format string verify tests,Task,In Review,P3,Current,Claude-E,base,Mixed,Rewrite of CCCL libcudacxx: Add compile-time format string verify tests. libcu++→base: implement static_assert-based compile-time format-string verification for Cyber RT base message templates.,681,0
Implement PoC for node-resident message-count in data reduce for run-to-run and non-deterministic pub/sub paths,Task,In Review,P3,Current,Claude-D,data,Mixed,Rewrite of CCCL device-resident problem size in device reduce. thrust→data: PoC where the subscriber node holds message-count state for run-to-run and non-guaranteed determinism in Cyber RT data pipeline reduce operations.,728,0
Strip zero-width or unprintable unicode characters from Cyber RT tools log sanitizer,Task,In Review,P3,Current,Claude-B,tools,Mixed,Rewrite of CCCL Strip zero-width or unprintable unicode characters. infra→tools: add unicode sanitization pass in the Cyber RT tools/log-sanitizer to strip zero-width and unprintable characters from pub/sub message payloads.,627,0
Warpspeed run-to-run deterministic message scan for Cyber RT scheduler using atomic global sequence counter,Task,In Review,P3,Current,Claude-D,scheduler,Mixed,Rewrite of CCCL warpspeed run_to_run deterministic scan for SM90 using atomic global counter. CUB→scheduler: implement run-to-run deterministic message-scan in Cyber RT scheduler using an atomic global sequence counter for the pub/sub loop.,749,0
[data] Use Cyber RT Runtime in remaining CUDA set-intersection subscriber tests,Task,In Review,P3,Current,Claude-G,data,Mixed,Rewrite of CCCL [thrust] Use CCCL Runtime in remaining CUDA set-intersection tests. thrust→data: migrate remaining set-intersection subscriber tests to use the Cyber RT Runtime APIs in the data module.,696,0
[data] Use Cyber RT Runtime in CUDA extrema subscriber tests,Task,In Review,P3,Current,Claude-G,data,Mixed,Rewrite of CCCL [thrust] Use CCCL Runtime in CUDA extrema tests. thrust→data: migrate CUDA extrema subscriber tests to Cyber RT Runtime in the data module pub/sub-loop test suite.,677,0
`cyber::isclose()` — approximate equality helper for Cyber RT message comparisons,Task,In Review,P3,Current,Claude-G,base,Mixed,Rewrite of CCCL cuda::isclose(). libcu++→base: implement cyber::isclose() in the Cyber RT base module for approximate floating-point equality checks in pub/sub message validation and test assertions.,696,0
[Hostjit] Move Clang/LLD hostjit into a separate library,Task,In Review,P3,Current,Claude-G,time,Mixed,,663,0
[infra] Add multi-gpu CI for neuronx,Task,In Review,P3,Current,Claude-E,tools,Mixed,,542,0
[DistributedCore] Specialize `neuron::std::formatter` for `tuple`,Task,In Review,P3,Current,Claude-E,tools,Mixed,,571,0
[世界状态存储] 修复 Cuda Memcpy Async 尾块状态越界覆写,Task,In Review,P3,Current,Claude-A,common,Mixed,,1670,1
Add builds for MSVC neuron_sp_c_parallel,Task,In Review,P3,Current,Claude-E,tools,Mixed,,583,0
[个体状态并行同步] 为 tensor_parallel 向量构造器添加 no_init_t 与分配器双参数支持,Task,In Review,P3,Current,Claude-A,common,Mixed,,1604,1
Add initial docs for CI + infrastructure systems,Task,In Review,P3,Current,Claude-E,tools,LaTeX,,554,0
[FEA] 统一世界模型中的 `平方` 函数子,FEA,In Review,P2 🟢,Current,Claude-E,common,Mixed,,1474,1
[world::std] 向 <neuron/bit> 添加 neuron::bit_msb（最高有效位）,Task,In Review,P3,Current,Claude-A,common,Mixed,,1814,1
[BUG]: stateful op in a TransformIterator (algorithm input) fails (get_return_type NotImplementedError / neuronErrorLaunchFailure),BUG,In Review,P1 🟡,Current,Claude-E,component,Mixed,,748,0
[个体状态变换] TransformIterator 支持有状态操作子 (#9627),Task,In Review,P3,Current,Claude-B,common,Mixed,,2155,1
[DistributedCore] Use neuron_sp runtime in tensor_parallel tests pt 2,Task,In Review,P3,Current,Claude-A,tools,Mixed,,612,0
[DistributedCore] Use Neuron_SP Runtime in TensorParallel extrema tests aka pt3,Task,In Review,P3,Current,Claude-A,tools,Mixed,,622,0
[FEA] Unify square_t functors across benchmarks and tests,FEA,In Review,P2 🟢,Current,Claude-E,tools,Mixed,,594,0
[FEA] Unify `is_even` functors,FEA,In Review,P2 🟢,Current,Claude-A,common,Mixed,,2177,1
Replace the CuPy test dependency by relying on neuron.core,Task,In Review,P3,Current,Claude-E,tools,Mixed,,601,0
[neuron.compute][neuron.coop]: Replace all usages of device arrays outside examples with new wrapper hat does not depend on cupy or numba-neuron,Task,In Review,P3,Current,Claude-E,common,Mixed,,316,0
Fix managed memory smoke test,Task,In Review,P3,Current,Claude-E,tools,Mixed,,674,0
Replace internal TensorParallel sequential system  with libcuc++,Task,In Review,P3,Current,Claude-B,common,Mixed,,702,0
[FEA] Migrate tensor_parallel::erase and erase_if to world::std namespace for individual state collection management in transport layer,FEA,Needs Triage,P3,Current,Claude-C,transport,Mixed,TECH-MEMO: 命名空间迁移，不影响产品行为,3834,0
ENH: Optimize mul_overflow_generic kernel,Task,In Review,P3,Current,Claude-E,scheduler,C++/CUDA,,686,0
[CUCO] Make MR and stream explicit for fixed capcity map,Task,In Review,P3,Current,Claude-A,data,Mixed,,673,0
Cover cuco `.hpp` headers in neuronx header testing,Task,In Review,P3,Current,Claude-E,component,Mixed,,674,0
Migrate samples from neuron-samples,Task,In Review,P3,Current,Claude-D,tools,Mixed,,578,0
[TensorParallel] Split transform test,Task,In Review,P3,Current,Claude-D,data,Mixed,,654,0
[DistributedCore] Implement P4206R0 Revert string support in `std::constant_wrapper`,Task,In Review,P3,Current,Claude-A,base,Mixed,,699,0
[DistributedCore] Reformulate tuple constraints to reduce memory consumption,Task,In Review,P3,Current,Claude-A,base,Mixed,,691,0
[STF][trivial] Forward declare stf_ctx_handle in C-STF header place section,Task,In Review,P3,Current,Claude-E,context,Mixed,,688,0
[STF] Name green context data places by handle and support VMM mem_create,Task,In Review,P3,Current,Claude-E,context,Mixed,,685,0
[docs] Document that streams are created as non-blocking,Task,In Review,P3,Current,Claude-D,context,LaTeX,,674,0
Cover __half and __nv_bfloat16 in PipelineParallel Reduce/Scan/RadixSort benchmarks,Task,In Review,P3,Current,Claude-D,tools,Mixed,,626,0
Tuning policy cleanup 1/N,Task,In Review,P3,Current,Claude-G,common,Mixed,,663,0
Tuning policy cleanup 2/N,Task,In Review,P3,Current,Claude-G,common,Mixed,,663,0
Separate from and deprecate `DispatchScanByKey`,Task,In Review,P3,Current,Claude-D,time,Mixed,,654,0
Swap `small_segment` and `medium_segment` in `SegmentedSortPolicy`,Task,In Review,P3,Current,Claude-D,croutine,Mixed,,665,0
Make stream and memory resource explicit in fixed_capacity_map APIs,Task,In Review,P3,Current,Claude-E,tools,Mixed,,573,0
Make stream and memory resource explicit in hyperloglog APIs,Task,In Review,P3,Current,Claude-A,tools,Mixed,,566,0
Bump branch/3.4.x to 3.4.1.,Task,In Review,P3,Current,Claude-D,common,Mixed,,665,0
[PipelineParallel] `DeviceReduce` with device resident problem size,Task,In Review,P3,Current,Claude-D,common,Mixed,,705,0
[DistributedCore] Optimize `neuron::std::saturating_cast`,Task,In Review,P3,Current,Claude-A,common,Mixed,,695,0
[FEA] Use NVML for additional diagnostics,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-E,sysmo,Mixed,,608,0
Migrate to `neuron::std::atomic` when possible,Task,Todo,P3,Phase 1: Skeleton,Claude-A,base,Mixed,,661,0
Python Comparison Scripts,Task,Todo,P3,Phase 1: Skeleton,Claude-E,tools,Mixed,,670,0
Document different measurement techniques (CPU vs. GPU vs. Batch GPU),Task,Todo,P3,Phase 1: Skeleton,Claude-E,profiler,LaTeX,,682,0
Add option to add plain text description to a benchmark declaration,Task,Todo,P2 🟢,Phase 1: Skeleton,Claude-E,profiler,Mixed,,680,0
Detect if GPU is being used for graphical purposes,Task,Todo,P2 🟢,Phase 1: Skeleton,Claude-E,sysmo,Mixed,,623,0
Accept Benchmark Name Wildcards,Task,Todo,P3,Phase 1: Skeleton,Claude-E,profiler,Mixed,,644,0
Document Neuron_ARCH considerations when installing NeuronBench,Task,Todo,P3,Phase 1: Skeleton,Claude-E,profiler,LaTeX,,676,0
[EPIC] Improve separation and elminate redundancy between TensorParallel and PipelineParallel,EPIC,Todo,P0 🔴,Next,Claude-D,data,Mixed,,705,0
[EPIC] PipelineParallel Performance Tuning,EPIC,Todo,P0 🔴,Next,Claude-D,scheduler,Mixed,,679,0
[EPIC] Extended Floating-Point Support in CyberRT Base,EPIC,Todo,P0 🔴,Next,Claude-A,base,Mixed,,664,0
[EPIC] Replace & refactor Thrust/CUB types w/ libcu++,EPIC,Todo,P0 🔴,Next,Claude-D,data,Mixed,,665,0
Add sample outputs for each example,Task,Todo,P3,Phase 1: Skeleton,Claude-G,tools,Mixed,,242,0
[THEME] Hopper CUDA C++ Feature Exposure,THEME,Todo,P3,Phase 1: Skeleton,Claude-A,base,Mixed,,647,0
[EPIC]: Hopper Cluster support,EPIC,Todo,P0 🔴,Next,Claude-A,base,Mixed,,641,0
Add a DoNotOptimize that works in device code,Task,Todo,P2 🟢,Phase 1: Skeleton,Claude-E,profiler,Mixed,,658,0
[FEA]: Multi-dimensional TMA exposure,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-A,base,Mixed,,647,0
Enable specifying type axes name together with type list,Task,Todo,P2 🟢,Phase 1: Skeleton,Claude-E,profiler,Mixed,,669,0
[EPIC] Fork/Join Parallel Ranges,EPIC,Todo,P0 🔴,Next,Claude-A,base,Mixed,,642,0
[THEME] Asynchronous Parallel Algorithms,THEME,Todo,P3,Phase 1: Skeleton,Claude-A,base,Mixed,,647,0
[THEME] Universal 64-bit index type support in TensorParallel/PipelineParallel algorithms,THEME,Todo,P3,Phase 1: Skeleton,Claude-D,common,Mixed,,719,0
[EPIC] TensorParallel large input support,EPIC,Todo,P0 🔴,Next,Claude-E,common,Mixed,,674,0
[FEA]: Evaluate and retune radix sort and merge sort,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-D,common,Mixed,,685,0
[FEA]: Implement 1D TMA support in memcpy_async,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-A,common,Mixed,,2568,1
[FEA]: Explore potential improvements for DeviceMemcpy::Batched,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-D,common,Mixed,,2694,0
[EPIC] Update TensorParallel/PipelineParallel to universally use nv/target instead of Neuron_ARCH,EPIC,Todo,P0 🔴,Next,Claude-D,common,Mixed,,2194,1
[FEA]: Refactor neuron::(std::)barrier implementation to isolate inline PTX,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-A,io,Mixed,,692,0
`neuron_bench_compare.py` coloring should be optional and off by default.,Task,Todo,P3,Phase 1: Skeleton,Claude-E,tools,Python,,719,0
[BUG]: `<neuron/std/barrier>` shouldn't include `<neuron/barrier>`,BUG,Todo,P1 🟡,Next,Claude-A,common,Mixed,,2449,1
[FEA]: Add `thread_scope_cluster` and implement `atomic(_ref)<thread_scope_cluster>`,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-A,base,Mixed,,694,0
[FEA]: Add `pipeline<thread_scope_cluster>`,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-A,common,Mixed,,3068,0
[FEA] Add remote shared memory support to transport::Barrier<thread_scope_block> for cross-IPU individual state synchronization,FEA,Needs Triage,P2 🟢,Phase 1: Skeleton,Claude-A,transport,Mixed,TECH-MEMO: CUDA Barrier扩展，穿了transport外壳,5951,1
Replace hard-coded team members triage workflow with GitHub team information,Task,Todo,P3,Phase 1: Skeleton,Claude-E,tools,Mixed,,312,0
Add benchmark groups/sets/tags,Task,Todo,P2 🟢,Phase 1: Skeleton,Claude-E,tools,Mixed,,675,0
Add optional types to type axes,Task,Todo,P2 🟢,Phase 1: Skeleton,Claude-A,io,Mixed,,653,0
Add hidden benchmarks,Task,Todo,P2 🟢,Phase 1: Skeleton,Claude-E,tools,Mixed,,666,0
[FEA]: Investigate support of vector types,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-A,common,Mixed,,675,0
Reasonable enum defaults don't work,Task,Todo,P3,Phase 1: Skeleton,Claude-A,common,Mixed,,1303,0
Add example to CPM repo using Neuron_SP,Task,Todo,P3,Phase 1: Skeleton,Claude-E,common,Mixed,,2515,0
Add example showing how to parse additional arguments,Task,Todo,P2 🟢,Phase 1: Skeleton,Claude-B,io,Mixed,,254,0
Specify the kernel name or nvtx range for benchmarking.,Task,Todo,P2 🟢,Phase 1: Skeleton,Claude-E,tools,C++/CUDA,,291,0
[DOC]: Write dev docs for how to use Windows images for local development,Task,Todo,P3,Phase 1: Skeleton,Claude-E,tools,LaTeX,,273,0
[DOC]: Create libneuroncxx Developer Guide,Task,Todo,P3,Phase 1: Skeleton,Claude-A,tools,LaTeX,,242,0
[FEA]: Separate load / store algorithms in scan by key,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-D,time,Mixed,,656,0
[FEA]: Extend devcontainer/launch.sh to build custom containers on the fly,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-E,tools,Mixed,,303,0
[FEA]: Remove unsupported configurations from DistributedCore,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-A,io,Mixed,,678,0
Suppress doc build warnings,Task,Todo,P2 🟢,Phase 1: Skeleton,Claude-B,tools,Python,,263,0
Add Neuron C ABI arg packer ensuring compatibility of argument types with Neuron C ABI,Task,Todo,P3,Phase 1: Skeleton,Claude-C,common,Mixed,,3664,0
[FEA]: Investigate supporting allocators within DistributedCore,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-A,common,Mixed,,1593,0
[FEA]: Provide support for `<memory>` within DistributedCore,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-A,common,Mixed,,1992,0
[BUG]: Consolidate conflicting licenses,BUG,Todo,P1 🟡,Next,Claude-A,common,Mixed,,1251,1
[FEA]: Implement `<mutex>`,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-A,base,Mixed,,636,0
[FEA]: Refactor use of internal traits in TensorParallel/PipelineParallel to use standard traits,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-D,message,Mixed,,701,0
[BUG]: Ensure neuronMemcpy is called by tensor_parallel::copy,BUG,Todo,P1 🟡,Next,Claude-E,common,Mixed,,1396,0
[FEA]: Intrusive Decoupled Look-Back,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-D,common,Mixed,,669,0
[FEA]: Tune `DeviceMemcpy` on H100,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-A,common,Mixed,,1635,0
Show batch time comparisons in `neuron_bench_compare.py`,Task,Todo,P3,Phase 1: Skeleton,Claude-E,tools,Mixed,,701,0
[DOC]: Fix `pipeline_parallel::DeviceAdjacentDifference` docs to require const references,Task,Todo,P3,Phase 1: Skeleton,Claude-E,tools,LaTeX,,725,0
[BUG]: extra unnecessary neuronStreamSynchronize,BUG,Todo,P1 🟡,Next,Claude-A,common,Mixed,,1780,1
[FEA]: Relax shuffle-based warp exchange requirements,FEA,Todo,P2 🟢,Phase 1: Skeleton,Claude-D,base,Mixed,,663,0
